MANDT;MATNR;MTART;MEINS;BRGEW;NTGEW;GEWEI
400;MZ-RM-P1;ROH;ST;0.000;0.000;
400;MR311512;HAWA;EA;0.200;0.200;KG
400;MZ-RM-E108-09;ROH;ST;0.000;0.000;
400;MR516112015;MODE;ST;0.200;0.200;KG
400;WT_BRG_001;ROH;ST;0.000;0.000;
400;555;HALB;EA;0.000;0.000;
400;897;HALB;EA;0.000;0.000;
400;MZ-FG-E199;FERT;EA;1.200;1.000;KG
400;ML_RM_229;ROH;EA;0.000;0.000;
400;MZ-RM-P2;ROH;ST;0.000;0.000;
400;PP-FG14;FERT;ST;1.000;0.900;KG
400;MZ-FG-E191;FERT;EA;1.200;1.000;KG
400;MR516112016;MODE;ST;0.200;0.200;KG
400;CP1-RM-100;ROH;EA;1.000;1.000;KG
400;556;HALB;EA;0.000;0.000;
400;898;HALB;EA;0.000;0.000;
400;ATP_PROD07;FERT;EA;1.000;1.000;KG
400;ML_RM_230;ROH;EA;0.000;0.000;
400;ML_RM_001;ROH;EA;0.000;0.000;
400;ML-002;SERV;H;0.000;0.000;KG
400;MR516112017;MODE;ST;0.200;0.200;KG
400;CP1-RM-101;ROH;EA;1.000;1.000;KG
400;557;HALB;EA;0.000;0.000;
400;MZ-RM-P3;ROH;ST;0.000;0.000;
400;MZ-RM-E108-03;ROH;ST;0.000;0.000;
400;899;HALB;EA;0.000;0.000;
400;ML-003;SERV;H;0.000;0.000;KG
400;ML_RM_231;ROH;EA;0.000;0.000;
400;CP1-FG-100;FERT;CS;25.000;25.000;KG
400;ML_RM_002;ROH;EA;0.000;0.000;
400;558;HALB;EA;0.000;0.000;
400;MR516112018;MODE;ST;0.200;0.200;KG
400;MR516101024;MODE;ST;0.200;0.200;KG
400;900;HALB;EA;0.000;0.000;
800;TRDZ;HAWA;ST;0.000;0.000;
400;MZ-SG-S1;HALB;ST;0.000;0.000;KG
400;559;HALB;EA;0.000;0.000;
400;MLBW-PROD10;FERT;EA;10.000;9.000;KG
400;ML_RM_141;ROH;EA;0.000;0.000;
400;ML_RM_003;ROH;EA;0.000;0.000;
400;ML_RM_232;ROH;EA;0.000;0.000;
400;901;HALB;EA;0.000;0.000;
800;TG10;HAWA;ST;1.000;0.900;G
400;MR516101025;MODE;ST;0.200;0.200;KG
400;YDD01-1000;FERT;ST;0.000;800.000;G
400;TG11;HAWA;ST;1.000;0.900;G
400;560;HALB;EA;0.000;0.000;
400;DS1_COMP01;HALB;EA;1.000;1.000;KG
800;TG11;HAWA;ST;1.000;0.900;G
400;902;HALB;EA;0.000;0.000;
400;ML-220;HALB;EA;0.000;0.000;
400;ML_RM_142;ROH;EA;0.000;0.000;
400;MZ-RM-E106-02;ROH;ST;0.000;0.000;
400;MZ-FG-P006;KMAT;ST;2.500.000;2.400.000;KG
400;MH99941A;HC01;BOX;0.000;0.000;
400;YDD01-2001;FERT;ST;0.000;601.173;G
400;561;HALB;EA;0.000;0.000;
400;DS2_COMP01;HALB;EA;1.000;1.000;KG
800;TG12;HAWA;ST;1.000;0.900;G
400;903;HALB;EA;0.000;0.000;
400;ML_RM_143;ROH;EA;0.000;0.000;
400;EWM-A60;HAWA;EA;0.000;0.000;KG
400;MZ-FG-E140;FERT;ST;0.020;0.020;KG
400;MR585170002;ZFRT;EA;0.400;0.350;KG
400;YDD01-2002;HALB;ST;0.000;200.000;G
400;MZ-FG-E149;FERT;ST;2.500.000;2.400.000;KG
400;562;HALB;EA;0.000;0.000;
800;TG13;HAWA;ST;1.000;0.900;G
400;ML_RM_144;ROH;EA;0.000;0.000;
400;DS_PROD101S;FERT;EA;1.000;1.000;KG
400;915;HALB;EA;0.000;0.000;
400;ML_RM_233;ROH;EA;0.000;0.000;
400;MZ-RM-E141-02;ROH;EA;0.000;0.000;
400;DS3_COMP01;HALB;EA;1.000;1.000;KG
400;YDD01-2101;HALB;ST;0.000;7.000;G
800;TG14;HAWA;ST;1.000;0.900;G
400;563;HALB;EA;0.000;0.000;
400;ML_RM_145;ROH;EA;0.000;0.000;
400;MZ-TG-P007;HAWA;EA;1.000;0.900;G
400;IBP-120;FERT;EA;1.000;1.000;KG
400;MZ-RM-E106-04;ROH;ST;0.000;0.000;
400;YDD01-2201;HALB;ST;0.000;5.000;G
400;EWM-A01B;HAWA;ST;150.000;150.000;KG
800;TG21;HAWA;ST;1.000;0.900;G
400;564;HALB;EA;0.000;0.000;
400;ML_RM_146;ROH;EA;0.000;0.000;
400;DS4_COMP01;HALB;EA;1.000;1.000;KG
400;MZ-FG-E190;FERT;EA;1.200;1.000;KG
400;MR450200;HAWA;EA;0.200;0.200;KG
800;TG22;HAWA;ST;1.000;0.900;G
400;891;HALB;EA;0.000;0.000;
400;YDD01-2301;HALB;ST;0.000;1.000;G
400;565;HALB;EA;0.000;0.000;
400;ML_RM_147;ROH;EA;0.000;0.000;
400;PP-FG07;FERT;EA;1.200;1.000;KG
400;DS1_PROD02;FERT;EA;1.000;1.000;KG
400;DS5_PROD01;FERT;EA;1.000;1.000;KG
800;TG0001;MAT;ST;0.000;0.000;
400;MZ-RM-E106-05;ROH;ST;0.000;0.000;
400;YDD01-2401;HALB;ST;0.000;5.000;G
800;DS-FG10;FERT;KG;100.000;100.000;KG
400;ML_RM_148;ROH;EA;0.000;0.000;
400;566;HALB;EA;0.000;0.000;
400;RM16;ROH;ST;0.500;0.400;KG
400;10000001244;FERT;EA;0.000;0.000;
400;MZ-PROC-IT-PA-2300;MAT;EA;0.000;1.000;KG
400;MZ-RM-E141-03;ROH;EA;0.000;0.000;
800;TG0011;MAT;ST;1.000;0.900;KG
400;ML_RM_234;ROH;EA;0.000;0.000;
400;567;HALB;EA;0.000;0.000;
400;YDD01-2501;ROH;CCM;5.000;5.000;G
400;ML_RM_149;ROH;EA;0.000;0.000;
400;MR516218;HAWA;EA;0.200;0.200;KG
400;MZ_FG_P011;KMAT;ST;11.000;11.000;KG
400;MR450203;HAWA;EA;0.300;0.200;KG
400;904;HALB;EA;0.000;0.000;
800;TG0012;MAT;ST;1.000;0.900;KG
400;ML_RM_235;ROH;EA;0.000;0.000;
400;568;HALB;EA;0.000;0.000;
400;EWM-A01;HAWA;ST;2.000;2.000;KG
400;YDD01-2601;HALB;ST;0.000;94.000;MG
400;ML_RM_150;ROH;EA;0.000;0.000;
800;RM128;ROH;ST;0.500;0.250;KG
400;905;HALB;EA;0.000;0.000;
400;MR311326;HAWA;EA;0.200;0.200;KG
400;SA01;ROH;EA;0.000;0.000;
400;569;HALB;EA;0.000;0.000;
400;YDD01-2701;HALB;ST;0.000;92.380;G
400;MR516219;HAWA;EA;0.200;0.200;KG
400;357;ROH;EA;0.000;0.000;
800;FG126;FERT;ST;6.850;5.000;KG
400;906;HALB;EA;0.000;0.000;
400;ML_RM_151;ROH;EA;0.000;0.000;
400;PROD302;FERT;ST;1.000;0.900;G
400;570;HALB;EA;0.000;0.000;
400;MR318410;HAWA;EA;0.400;0.400;KG
400;MR516235;HAWA;EA;0.200;0.200;KG
400;YDD01-2801;HALB;ST;0.000;9.200;MG
800;SG124;HALB;ST;0.500;0.150;KG
400;358;ROH;EA;0.000;0.000;
400;907;HALB;EA;0.000;0.000;
400;MR516101004;MODE;ST;0.200;0.200;KG
400;621;HALB;EA;0.000;0.000;
400;ML-FG-P300;FERT;EA;1.000;1.000;KG
800;RM120;ROH;ST;0.500;0.250;KG
400;MZ-FG-E155;FERT;EA;0.000;0.000;KG
400;ML_RM_152;ROH;EA;0.000;0.000;
400;908;HALB;EA;0.000;0.000;
400;MR516236;HAWA;EA;0.200;0.200;KG
400;ATP-E211;FERT;EA;15.000;7.000;KG
400;MR450204;HAWA;EA;0.600;0.500;KG
400;572;HALB;EA;0.000;0.000;
800;RM122;ROH;ST;0.500;0.300;KG
400;RM17;ROH;ST;0.500;0.400;KG
400;MZ-FG-E156;FERT;EA;0.000;0.000;KG
400;ML_RM_153;ROH;EA;0.000;0.000;
400;MZ-FG-E200;FERT;EA;1.200;1.000;KG
400;909;HALB;EA;0.000;0.000;
800;RM124;ROH;ST;0.800;0.500;KG
400;MZ_CARTRIDGE;HAWA;ST;1.000;0.900;G
400;573;HALB;EA;0.000;0.000;
400;359;ROH;EA;0.000;0.000;
400;MZ-FG-E144;FERT;EA;0.000;0.000;
400;RM18;ROH;ST;0.500;0.400;KG
400;ML_RM_154;ROH;EA;0.000;0.000;
400;910;HALB;EA;0.000;0.000;
400;DS_PROD200S;FERT;EA;1.000;1.000;KG
800;TG20;HAWA;ST;1.000;0.900;G
400;574;HALB;EA;0.000;0.000;
400;360;ROH;EA;0.000;0.000;
400;MZ-TG-A14;HAWA;ST;1.000;0.900;G
400;MR525851;MODE;EA;0.200;0.200;KG
400;MZ_SP_CDA;HAWA;ST;1.000;0.900;G
400;TG20;HAWA;ST;1.000;0.900;G
400;ML_RM_155;ROH;EA;0.000;0.000;
400;EWM-A29;HAWA;ST;20.000;20.000;KG
800;FG226;FERT;ST;7.400;5.000;KG
400;911;HALB;EA;0.000;0.000;
400;361;ROH;EA;0.000;0.000;
400;575;HALB;EA;0.000;0.000;
400;MZ-FG-E157;FERT;EA;0.000;0.000;KG
400;ML_RM_156;ROH;EA;0.000;0.000;
800;SG24;HALB;CCM;7.000;3.000;KG
400;123;HALB;EA;0.000;0.000;
400;MRP_COMP01;HALB;EA;1.000;1.000;KG
400;362;ROH;EA;0.000;0.000;
400;576;HALB;EA;0.000;0.000;
400;MR516112019;MODE;ST;0.200;0.200;KG
400;RM20;ROH;ST;0.500;0.400;KG
400;912;HALB;EA;0.000;0.000;
800;RM13;ROH;ST;0.500;0.400;KG
400;124;HALB;EA;0.000;0.000;
400;363;ROH;EA;0.000;0.000;
400;MR525852;MODE;EA;0.200;0.200;KG
400;HM81008;NLAG;EA;0.000;0.000;
400;577;HALB;EA;0.000;0.000;
400;MR311130;HAWA;ST;12.000;12.000;OZ
400;ML_RM_157;ROH;EA;0.000;0.000;
400;913;HALB;EA;0.000;0.000;
800;RM14;ROH;ST;0.500;0.400;KG
400;125;HALB;EA;0.000;0.000;
400;MZ-RM-FS-NOG-3;ROH;EA;0.000;0.000;
400;364;ROH;EA;0.000;0.000;
400;MRP_PROD01;FERT;EA;1.000;1.000;KG
400;578;HALB;EA;0.000;0.000;
400;MR311220;HAWA;EA;0.000;20.000;KG
400;914;HALB;EA;0.000;0.000;
800;RM15;ROH;ST;100.000;40.000;G
400;126;HALB;EA;0.000;0.000;
400;MR535158;MODE;EA;0.200;0.200;KG
400;TIME AND MATERIALS;FERT;H;0.000;0.000;KG
400;579;HALB;EA;0.000;0.000;
400;ETO_CONTROL;HALB;ST;0.000;0.000;KG
400;ML_RM_158;ROH;EA;0.000;0.000;
400;MR311221;HAWA;EA;0.200;0.200;KG
400;ATP-PROD02B;FERT;EA;1.200;1.000;KG
400;365;ROH;EA;0.000;0.000;
800;RM16;ROH;ST;0.500;0.400;KG
400;127;HALB;EA;0.000;0.000;
400;MR311122;HAWA;ST;20.000;20.000;OZ
400;580;HALB;EA;0.000;0.000;
800;RM17;ROH;ST;0.500;0.400;KG
400;916;HALB;EA;0.000;0.000;
400;ATP-PROD02;FERT;EA;1.200;1.000;KG
400;366;ROH;EA;0.000;0.000;
400;581;HALB;EA;0.000;0.000;
400;MR311231;HAWA;EA;0.200;0.200;KG
800;RM18;ROH;ST;0.500;0.400;KG
400;ML_RM_159;ROH;EA;0.000;0.000;
400;MR535159;MODE;EA;0.200;0.200;KG
400;917;HALB;EA;0.000;0.000;
400;MR311123;HAWA;ST;20.000;20.000;OZ
400;367;ROH;EA;0.000;0.000;
400;582;HALB;EA;0.000;0.000;
400;MZ-RM-E106-03;ROH;ST;0.000;0.000;
800;RM09;ROH;KG;0.500;0.450;KG
400;MR311232;HAWA;EA;0.200;0.200;KG
400;918;HALB;EA;0.000;0.000;
400;128;HALB;EA;0.000;0.000;
400;RM27;ROH;ST;0.500;0.400;KG
400;MR585158;MODE;EA;0.200;0.200;KG
400;583;HALB;EA;0.000;0.000;
400;CH-8908;IBAU;EA;0.000;0.000;
800;RM20;ROH;ST;0.500;0.400;KG
400;368;ROH;EA;0.000;0.000;
400;O600065;FERT;EA;1.000;1.000;KG
400;ML_RM_160;ROH;EA;0.000;0.000;
400;919;HALB;EA;0.000;0.000;
400;RM28;ROH;KG;0.500;0.400;KG
400;129;HALB;EA;0.000;0.000;
800;RM27;ROH;ST;0.500;0.400;KG
400;MR585159;MODE;EA;0.200;0.200;KG
400;584;HALB;EA;0.000;0.000;
400;MZ-SV-RT-1;SERV;EA;0.000;0.000;
400;MR311260;HAWA;EA;0.200;0.200;KG
400;ML_RM_161;ROH;EA;0.000;0.000;
400;ETO INSERT RED;HALB;ST;2.500;2.400;KG
400;354;ROH;EA;0.000;0.000;
400;MR311124;HAWA;ST;20.000;20.000;OZ
800;RM28;ROH;KG;0.500;0.400;KG
400;MZ_SPARE;HAWA;ST;1.000;0.900;G
400;369;ROH;EA;0.000;0.000;
400;585;HALB;EA;0.000;0.000;
400;CP1-PK-100;VERP;EA;1.000;1.000;LB
400;ML_RM_162;ROH;EA;0.000;0.000;
400;MR-SINGLE;HAWA;EA;0.000;0.000;KG
800;RM19;ROH;L;4.000;4.000;KG
400;MZ_CONS_SPARE;FERT;ST;1.000;0.900;G
400;MZ-FG-M550;FERT;ST;15.000;7.000;KG
400;586;HALB;EA;0.000;0.000;
400;355;ROH;EA;0.000;0.000;
400;MR595158;MODE;EA;0.200;0.200;KG
400;MR311261;HAWA;EA;0.200;0.200;KG
400;370;ROH;EA;0.000;0.000;
800;RM30;ROH;L;4.000;4.000;KG
400;MR-FLLEMP;VOLL;EA;0.500;0.500;KG
400;ML_RM_163;ROH;EA;0.000;0.000;
400;MZ-TG-A15;HAWA;ST;1.000;0.900;G
400;LMO-PRD-C901;ROH;EA;0.000;0.000;
400;587;HALB;EA;0.000;0.000;
400;MR311278;HAWA;EA;0.200;0.200;KG
400;371;ROH;EA;0.000;0.000;
800;FG29;FERT;BOT;10.000;9.000;KG
400;356;ROH;EA;0.000;0.000;
400;MRP_PROD10;FERT;EA;1.000;1.000;KG
400;MR-EMPBTL;LGUT;EA;0.100;0.100;KG
400;ML-TG13;ROH;ST;0.500;0.400;KG
400;MR595159;MODE;EA;0.200;0.200;KG
400;588;HALB;EA;0.000;0.000;
400;MR311279;HAWA;EA;0.200;0.200;KG
800;SG224;HALB;ST;0.500;0.200;KG
400;MZ-RM-E122-01;ROH;EA;0.000;0.000;
400;ML_RM_164;ROH;EA;0.000;0.000;
400;MR516101;MODE;ST;0.200;0.200;KG
400;MR-EMPCRT;LGUT;EA;0.900;0.900;KG
400;IPOD;HAWA;ST;1.000;0.900;G
400;589;HALB;EA;0.000;0.000;
400;MR300417310;HAWA;EA;0.150;0.150;KG
800;SG22;HALB;ST;0.500;0.450;KG
400;MR700004;MODE;EA;0.200;0.200;KG
400;MR311290;HAWA;EA;0.200;0.200;KG
400;MR311125;HAWA;ST;20.000;20.000;OZ
400;HM70008;HC01;EA;0.000;0.000;
400;ML_RM_165;ROH;EA;0.000;0.000;
400;MZ-FG-E158;FERT;EA;0.000;0.000;KG
400;MR-DFLEMC;HAWA;EA;100.000;98.000;KG
800;SG23;HALB;ST;0.500;0.450;KG
400;590;HALB;EA;0.000;0.000;
400;MR700018;MODE;EA;0.200;0.200;KG
400;299;HALB;EA;0.000;0.000;
400;MR300417310001;HAWA;EA;0.150;0.150;KG
400;MRP_PROD09;FERT;EA;1.000;1.000;KG
400;MZ_SPARE1;FERT;ST;1.000;0.900;G
400;MZ-SG-CM01;HALB;ST;0.500;0.150;KG
400;ML_RM_166;ROH;EA;0.000;0.000;
400;MR-SFLSNG;HAWA;EA;2.000;1.800;KG
800;SG21;HALB;ST;0.500;0.450;KG
400;591;HALB;EA;0.000;0.000;
400;MR700027;MODE;EA;0.200;0.200;KG
400;MZ-FG-E201;FERT;ST;0.000;0.000;KG
400;CONEX;PROD;EA;0.000;0.000;
400;MR300417310002;HAWA;EA;0.150;0.150;KG
400;MRP_PROD08;FERT;EA;1.000;1.000;KG
400;MZ-PROC-OF-CH-002;HAWA;EA;0.000;1.000;KG
800;SG25;HALB;ST;0.500;0.450;KG
400;ALY05015U30;FERT;ST;10.000;9.000;KG
400;MR700028;MODE;EA;0.200;0.200;KG
400;622;HALB;EA;0.000;0.000;
400;PP_RAW404;ROH;EA;12.000;10.000;KG
400;MZ-RM158-4;ROH;ST;0.000;0.000;
400;MZ-P100;FERT;KG;0.000;0.000;KG
400;ML_RM_167;ROH;EA;0.000;0.000;
400;MZ-FG-DS-004;FERT;EA;0.000;0.000;
800;SG325A;HALB;ST;1.000;0.960;KG
400;MR300417310003;HAWA;EA;0.150;0.150;KG
400;593;HALB;EA;0.000;0.000;
400;ATP-PROD00;FERT;EA;1.200;1.000;KG
400;PP_RAW303;ROH;EA;12.000;10.000;KG
400;MZ-RM-A100-01;ROH;MG;0.000;0.000;
400;MZ-P101;FERT;KG;0.000;0.000;
400;MZ-RM158-5;ROH;ST;0.000;0.000;
800;SG325B;HALB;ST;1.000;0.960;KG
400;MZ-FG-DS-005;FERT;EA;0.000;0.000;
400;MR300417310004;HAWA;EA;0.150;0.150;KG
400;ML_RM_168;ROH;EA;0.000;0.000;
400;594;HALB;EA;0.000;0.000;
400;ATP-PROD06;FERT;EA;1.200;1.000;KG
400;MZ-FG-E187;FERT;EA;1.200;1.000;KG
400;MZ-P102;FERT;KG;0.000;0.000;
800;RM12;ROH;ST;0.500;0.400;KG
400;DS_PROD02;FERT;EA;1.000;1.000;KG
400;LABOR_MAT;PROD;EA;0.000;0.000;
400;ML_RM_169;ROH;EA;0.000;0.000;
400;MR300417310005;HAWA;EA;0.150;0.150;KG
400;C0SEAL;FERT;EA;1.000;1.000;KG
400;595;HALB;EA;0.000;0.000;
400;MZ-FG-P016;FERT;ST;0.020;0.020;KG
400;MZ-FG-E188;FERT;EA;1.200;1.000;KG
800;RP001;LEIH;ST;20.000;20.000;KG
400;ML_RM_170;ROH;EA;0.000;0.000;
400;SP004;ERSA;ST;0.000;0.000;
400;DS_PROD03;FERT;EA;1.000;1.000;KG
400;MR300417310006;HAWA;EA;0.150;0.150;KG
400;GTS-14001;FERT;ST;1.000.000;750.000;KG
400;596;HALB;EA;0.000;0.000;
400;MZ-FG-P017;FERT;ST;0.020;0.020;KG
800;MILL_PRODUCT;KMAT;KG;0.000;0.000;
400;MZ-RM-A100-03;ROH;EA;0.000;0.000;
400;ML_RM_171;ROH;EA;0.000;0.000;
400;DS1_PROD04;FERT;EA;1.000;1.000;KG
400;MZ-FG-E189;FERT;EA;1.200;1.000;KG
400;597;HALB;EA;0.000;0.000;
400;MR300417310007;HAWA;EA;0.150;0.150;KG
400;MZ-P103;FERT;KG;0.000;0.000;
800;DEMO_FG_SHLF_LIFE;FERT;KG;0.000;0.000;KG
400;MZ-FG-P015;FERT;ST;0.020;0.020;KG
400;ZSP1000;IBAU;EA;0.000;0.000;
400;ML_RM_172;ROH;EA;0.000;0.000;
400;DS_PROD04;FERT;EA;1.000;1.000;KG
400;TG24;HAWA;ST;1.000;0.900;G
400;598;HALB;EA;0.000;0.000;
800;DS-RM10;ROH;KG;0.000;0.000;
400;MZ-RM-A100-04;ROH;BOX;0.000;0.000;
400;CH-8940;IBAU;EA;0.000;0.000;
400;MZ-FG-P018;FERT;ST;0.020;0.020;KG
400;ML_RM_173;ROH;EA;0.000;0.000;
400;MR311291;HAWA;EA;0.200;0.200;KG
400;MR300417310008;HAWA;EA;0.150;0.150;KG
400;MA600;SERV;P;0.000;0.000;KG
400;MZ-TG-E107;HAWA;ST;1.000;0.900;G
400;599;HALB;EA;0.000;0.000;
400;ML_SG_028;HALB;EA;0.000;0.000;KG
400;MZ_SCALCJ;FERT;ST;6.850;5.000;KG
400;SP006;ERSA;ST;0.000;0.000;
400;ETO CONTROL UNIT;HALB;ST;2.500;2.400;KG
400;MR311301;HAWA;EA;0.200;0.200;KG
400;MR516206;MODE;EA;0.200;0.200;KG
400;600;HALB;EA;0.000;0.000;
400;MR300417310009;HAWA;EA;0.150;0.150;KG
400;ML_SG_027;HALB;EA;0.000;0.000;KG
400;MZ-TG-A20;HAWA;ST;1.000;0.900;G
400;MZ_ETO_AD_01;FERT;ST;2.500.000;2.400.000;KG
400;MR516206001;MODE;EA;0.200;0.200;KG
400;MR311302;HAWA;EA;0.200;0.200;KG
400;623;HALB;EA;0.000;0.000;
400;ML_RM_174;ROH;EA;0.000;0.000;
400;CH-8803;ERSA;EA;0.000;0.000;
400;MR-GENERIC;HAWA;EA;0.000;0.000;KG
800;DEMO_RM_SHELF_LIFE;ROH;KG;0.000;0.000;KG
400;MR300417310010;HAWA;EA;0.150;0.150;KG
400;NL001;NLAG;ST;0.000;0.000;
400;602;HALB;EA;0.000;0.000;
400;ML_RM_175;ROH;EA;0.000;0.000;
400;PP_RAW202;ROH;EA;12.000;10.000;KG
400;CH-8804;ERSA;EA;0.000;0.000;
400;COMP40-1;HALB;EA;0.000;0.000;KG
800;DEMO_FG_SHELF_LIFE;FERT;KG;100.000;10.000;KG
400;MR-GENERIC001;HAWA;EA;0.000;0.000;KG
400;603;HALB;EA;0.000;0.000;
400;298;HALB;EA;0.000;0.000;KG
400;ML_RM_176;ROH;EA;0.000;0.000;
400;MZ-PROC-IT-CM-7900;MAT;EA;0.000;1.000;KG
800;SL-FG-100;FERT;KG;100.000;10.000;KG
400;MR-GENERIC002;HAWA;EA;0.000;0.000;KG
400;ML_RM_177;ROH;EA;0.000;0.000;
400;604;HALB;EA;0.000;0.000;
400;CH-8805;ERSA;EA;0.000;0.000;
400;MR300417310011;HAWA;EA;0.150;0.150;KG
400;PP-RM07;ROH;ST;1.500;1.400;KG
400;PP_RAW101;ROH;EA;12.000;10.000;KG
400;PI-4251;ZVER;EA;10.000;10.000;G
400;MR311126;HAWA;ST;20.000;20.000;OZ
800;DS-SFG10;HALB;KG;0.000;0.000;
400;CH-8911;IBAU;EA;0.000;0.000;
400;ML_RM_178;ROH;EA;0.000;0.000;
400;MR-PRGEN;HAWA;EA;5.000;5.000;KG
400;605;HALB;EA;0.000;0.000;
400;MR311325;HAWA;EA;0.200;0.200;KG
400;MZ-RM-E108-04;ROH;ST;0.000;0.000;
400;PP_RAW061;ROH;EA;12.000;10.000;KG
400;MR516206002;MODE;EA;0.200;0.200;KG
400;CH-8916;IBAU;EA;0.000;0.000;
400;606;HALB;EA;0.000;0.000;
400;PI-4231;ZVER;EA;10.000;10.000;G
400;MR516158;MODE;ST;0.200;0.200;KG
400;ML_RM_179;ROH;EA;0.000;0.000;
400;MR516112020;MODE;ST;0.200;0.200;KG
800;DS-FG13;FERT;KG;0.000;0.000;KG
400;MRP_PROD07;FERT;EA;1.000;1.000;KG
400;PP_RAW06;ROH;EA;12.000;10.000;KG
400;MR300417310012;HAWA;EA;0.150;0.150;KG
400;MZ-SV-ENT-2;SERV;EA;0.000;0.000;
400;ML_FG_001;FERT;EA;20.500.000;20.000.000;KG
400;607;HALB;EA;0.000;0.000;
400;MZ-TM-02;HALB;ST;1.000.000;0.000;LB
400;MR311341;HAWA;EA;0.200;0.200;KG
400;MRP_PROD06;FERT;EA;1.000;1.000;KG
400;MR516206003;MODE;EA;0.200;0.200;KG
400;MZ-SV-ENT-1;SERV;EA;0.000;0.000;
400;ML_RM_180;ROH;EA;0.000;0.000;
400;PP_RAW051;ROH;EA;12.000;10.000;KG
400;ML_FG_002;FERT;EA;20.500.000;20.000.000;KG
400;608;HALB;EA;0.000;0.000;
400;SG21;HALB;ST;0.500;0.450;KG
400;MR311342;HAWA;EA;0.200;0.200;KG
400;MR516206004;MODE;EA;0.200;0.200;KG
400;MZ-SV-TG-1;SERV;EA;0.000;0.000;
400;MR300417310013;HAWA;EA;0.150;0.150;KG
400;PP_RAW05;ROH;EA;12.000;10.000;KG
400;931;HAWA;ST;0.000;0.000;KG
400;609;HALB;EA;0.000;0.000;
400;MRP_PROD05;FERT;EA;1.000;1.000;KG
400;MZ_FG_P015;FERT;ST;110.000;110.000;KG
400;ML_FG_003;FERT;EA;20.500.000;20.000.000;KG
400;ML_RM_181;ROH;EA;0.000;0.000;
400;MR311351;HAWA;EA;0.200;0.200;KG
400;ML_SG_022;HALB;EA;0.000;0.000;KG
400;PP_RAW041;ROH;EA;12.000;10.000;KG
400;624;HALB;EA;0.000;0.000;
400;MR311127;HAWA;ST;20.000;20.000;OZ
400;MZ_FG_P016;FERT;ST;110.000;110.000;KG
400;PLMPI_MATERIAL1;ROH;KG;0.000;0.000;
400;MR300417310014;HAWA;EA;0.150;0.150;KG
400;ML_RM_182;ROH;EA;0.000;0.000;
400;ML_FG_004;FERT;EA;20.500.000;20.000.000;KG
400;MR311352;HAWA;EA;0.200;0.200;KG
400;ML_SG_023;HALB;EA;0.000;0.000;KG
400;MRP_RAW11;ROH;EA;12.000;10.000;KG
400;611;HALB;EA;0.000;0.000;
400;MZ_FG_P017;FERT;ST;110.000;110.000;KG
400;ML_RM_183;ROH;EA;0.000;0.000;
400;PLMPI_MATERIAL3;ROH;KG;0.000;0.000;
400;FB980-01;ROH;EA;0.000;0.000;
400;MRC22001;VERP;ST;0.000;0.000;KG
400;MR311361;HAWA;EA;0.200;0.200;KG
400;MZ-FG-E108;FERT;ST;15.000;7.000;KG
400;MR300417310015;HAWA;EA;0.150;0.150;KG
400;ML_RM_184;ROH;EA;0.000;0.000;
400;MH99942;HC01;BOX;0.000;0.000;
400;612;HALB;EA;0.000;0.000;
400;MR700029;MODE;EA;0.200;0.200;KG
400;PLMPI_MATERIAL2;ROH;KG;0.000;0.000;
400;MZ-TG-TP1-A135;HAWA;EA;1.000;1.000;KG
400;MRV22001;ZVOM;ST;0.000;0.000;KG
400;ML-CONCRETE;HALB;YD;210.000;120.000;KG
400;MH99943;HC01;BOX;0.000;0.000;
400;ML_RM_185;ROH;EA;0.000;0.000;
400;613;HALB;EA;0.000;0.000;
400;ML-TG14;FERT;ST;6.850;5.000;KG
400;MR700043;MODE;EA;0.200;0.200;KG
400;MR300313722;HAWA;EA;0.300;0.300;KG
400;ML-REBAR;ROH;LB;0.000;0.000;KG
400;MRPALLETPACK;VERP;ST;50.000;50.000;KG
400;PLMPI_MATERIAL4;ROH;KG;0.000;0.000;
400;MZ-TG-TP1-A130;HAWA;EA;1.000;1.000;KG
400;MH99944;HC01;BOX;0.000;0.000;
400;632;HALB;EA;0.000;0.000;
400;MR700044;MODE;EA;0.200;0.200;KG
400;ML_RM_186;ROH;EA;0.000;0.000;
400;ML-F04;FERT;ST;1.000;1.000;KG
400;MZ-RM-FS-NOG-1;ROH;EA;0.000;0.000;
400;PLMPI_MATERIAL5;ROH;KG;0.000;0.000;
400;ML_SG_011;HALB;EA;0.000;0.000;KG
400;ML_RM_014;ROH;EA;0.000;0.000;
400;MR300313722001;HAWA;EA;0.300;0.300;KG
400;TEST100;FERT;EA;1.000;1.000;KG
400;615;HALB;EA;0.000;0.000;
400;MR700045;MODE;EA;0.200;0.200;KG
400;ML_SG_012;HALB;EA;0.000;0.000;KG
400;PLMPI_MATERIAL6;ROH;KG;0.000;0.000;
400;MZ-FG-M500;FERT;ST;15.000;7.000;KG
400;MZ-TG-A123;HAWA;ST;1.000;0.900;G
400;ML_RM_015;ROH;EA;0.000;0.000;
400;MR300313722002;HAWA;EA;0.300;0.300;KG
400;MR516206005;MODE;EA;0.200;0.200;KG
400;ML_RM_187;ROH;EA;0.000;0.000;
400;616;HALB;EA;0.000;0.000;
400;ML_SG_013;HALB;EA;0.000;0.000;KG
400;PLMPI_MATERIAL_I;HALB;KG;0.000;0.000;
400;MZ-FG-DS-001;FERT;KG;0.000;0.000;
